# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
0.00000000000e+00 5.11079596155e-01 3.72575012492e-12 1.30001602186e-04 2.00345800579e-10 1.99520891856e-10 4.02669525316e-10 4.75427831494e+02 3.38085882022e-02
1.00000000000e-02 7.31983400339e-01 3.56421533101e-12 1.32268952337e-04 2.00357281786e-10 1.99523006662e-10 4.02664771965e-10 3.31944666206e+02 3.38085910112e-02
2.00000000000e-02 1.04466494510e+00 3.42166554051e-12 1.34678254053e-04 2.00368303364e-10 1.99525146802e-10 4.02659258783e-10 2.32585459957e+02 3.38085948598e-02
3.00000000000e-02 1.48373841387e+00 3.30058340770e-12 1.37228997720e-04 2.00378849362e-10 1.99527312780e-10 4.02652870067e-10 1.63754622177e+02 3.38086001327e-02
4.00000000000e-02 2.09357956351e+00 3.20459555503e-12 1.39920337365e-04 2.00388908738e-10 1.99529505112e-10 4.02645474995e-10 1.16051615251e+02 3.38086073566e-02
5.00000000000e-02 2.92766167362e+00 3.13891068856e-12 1.42375117220e-04 2.00398475273e-10 1.99531724331e-10 4.02636926433e-10 8.29769084373e+01 3.38086172525e-02
6.00000000000e-02 4.04550962383e+00 3.11086318567e-12 1.44731609480e-04 2.00407547341e-10 1.99533970983e-10 4.02627060300e-10 6.00354417828e+01 3.38086308057e-02
7.00000000000e-02 5.50439888919e+00 3.13070008025e-12 1.47233920976e-04 2.00416127596e-10 1.99536245631e-10 4.02615691936e-10 4.41134786574e+01 3.38086493651e-02
8.00000000000e-02 7.34385995639e+00 3.21263578510e-12 1.49884065506e-04 2.00424222560e-10 1.99538548850e-10 4.02602615009e-10 3.30562853179e+01 3.38086747765e-02
9.00000000000e-02 9.56551692884e+00 3.37631247683e-12 1.52686672140e-04 2.00431842167e-10 1.99540881237e-10 4.02587599799e-10 2.53725222936e+01 3.38087095643e-02
1.00000000000e-01 1.21141095954e+01 3.64877972865e-12 1.55650107267e-04 2.00438999270e-10 1.99543243402e-10 4.02570391351e-10 2.00294956428e+01 3.38087571801e-02
1.10000000000e-01 1.48711902774e+01 4.06719622243e-12 1.58787901918e-04 2.00445709136e-10 1.99545635974e-10 4.02550707675e-10 1.63117370607e+01 3.38088223419e-02
1.20000000000e-01 1.76712728548e+01 4.68249693739e-12 1.62120575625e-04 2.00451988951e-10 1.99548059600e-10 4.02528238094e-10 1.37232396015e+01 3.38089114963e-02
1.30000000000e-01 2.03385316353e+01 5.56442336466e-12 1.65677972174e-04 2.00457857348e-10 1.99550514946e-10 4.02502641857e-10 1.19200057935e+01 3.38090334480e-02
