# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
0.00000000000e+00 3.21867612417e+01 3.04738176710e-11 2.36395711702e-04 2.48838285491e-10 2.16054507740e-10 2.30707171634e-10 3.93293384149e+00 -4.00806109470e-02
1.00000000000e-02 3.26146189296e+01 4.20925326201e-11 2.47576035055e-04 2.49294575115e-10 2.16138555020e-10 2.30707567832e-10 3.87595868002e+00 -4.00824986812e-02
2.00000000000e-02 3.28953985761e+01 5.83660384335e-11 2.61440924107e-04 2.49732598084e-10 2.16223609132e-10 2.30708015026e-10 3.83661944583e+00 -4.00851396049e-02
3.00000000000e-02 3.30664953300e+01 8.11318767726e-11 2.79053242007e-04 2.50151720338e-10 2.16309690090e-10 2.30708523800e-10 3.80948417511e+00 -4.00888310407e-02
4.00000000000e-02 3.31551105545e+01 1.12941092079e-10 3.01846892742e-04 2.50551503148e-10 2.16396818455e-10 2.30709107873e-10 3.79082187080e+00 -4.00939856038e-02
5.00000000000e-02 3.31803314855e+01 1.57327454473e-10 3.31727108868e-04 2.50931699252e-10 2.16485015362e-10 2.30709785055e-10 3.77807515169e+00 -4.01011745721e-02
6.00000000000e-02 3.31550535756e+01 2.19173480789e-10 3.71178693890e-04 2.51292244130e-10 2.16574302532e-10 2.30710578415e-10 3.76950075268e+00 -4.01111867182e-02
7.00000000000e-02 3.30875775976e+01 3.05205053047e-10 4.23364070244e-04 2.51633243161e-10 2.16664702297e-10 2.30711517697e-10 3.76392351480e+00 -4.01251075776e-02
8.00000000000e-02 3.29828387780e+01 4.24655448495e-10 4.92175172911e-04 2.51954955582e-10 2.16756237624e-10 2.30712640913e-10 3.76057145770e+00 -4.01444253939e-02
9.00000000000e-02 3.28433446924e+01 5.90149688827e-10 5.82180751171e-04 2.52257776191e-10 2.16848932131e-10 2.30713995976e-10 3.75896515583e+00 -4.01711713480e-02
1.00000000000e-01 3.26698818674e+01 8.18871797808e-10 6.98394076493e-04 2.52542215765e-10 2.16942810120e-10 2.30715642089e-10 3.75884642921e+00 -4.02081030131e-02
1.10000000000e-01 3.24608243756e+01 1.13408928282e-09 8.45731241542e-04 2.52808881034e-10 2.17037896593e-10 2.30717650416e-10 3.76013541558e+00 -4.02589409090e-02
1.20000000000e-01 3.21999418622e+01 1.56696646214e-09 1.02744872179e-03 2.53058454997e-10 2.17134217285e-10 2.30720102712e-10 3.76290694697e+00 -4.03286434491e-02
1.30000000000e-01 3.19026055900e+01 2.15905191077e-09 1.24691813808e-03 2.53291678159e-10 2.17231798689e-10 2.30723089511e-10 3.76738330501e+00 -4.04237760235e-02
1.40000000000e-01 3.15674325405e+01 2.96548127436e-09 1.50447428533e-03 2.53509331192e-10 2.17330668086e-10 2.30726706942e-10 3.77394091538e+00 -4.05529696758e-02
1.50000000000e-01 3.11933455516e+01 4.05871519416e-09 1.79795998830e-03 2.53712219297e-10 2.17430853576e-10 2.30731051468e-10 3.78312477370e+00 -4.07274222695e-02
1.60000000000e-01 3.07798635512e+01 5.53315078011e-09 2.12295449978e-03 2.53901158479e-10 2.17532384109e-10 2.30736214977e-10 3.79566994458e+00 -4.09614678356e-02
1.70000000000e-01 3.03273449208e+01 7.51062321225e-09 2.47336857798e-03 2.54076963783e-10 2.17635289522e-10 2.30742280718e-10 3.81252671222e+00 -4.12731727575e-02
1.80000000000e-01 2.98371466363e+01 1.01468617665e-08 2.84217431307e-03 2.54240439476e-10 2.17739600576e-10 2.30749320585e-10 3.83488537168e+00 -4.16849054915e-02
1.90000000000e-01 2.93116493754e+01 1.36389438598e-08 3.22207463362e-03 2.54392371077e-10 2.17845348991e-10 2.30757393802e-10 3.86419533730e+00 -4.22238007460e-02
2.00000000000e-01 2.87540966182e+01 1.82337596269e-08 3.60602301578e-03 2.54533519094e-10 2.17952567492e-10 2.30766546747e-10 3.90217189304e+00 -4.29220138400e-02
2.10000000000e-01 2.81682116545e+01 2.42374407193e-08 3.98758696382e-03 2.54664614291e-10 2.18061289850e-10 2.30776813611e-10 3.95078305042e+00 -4.38166432504e-02
2.20000000000e-01 2.75575992111e+01 3.20255844761e-08 4.36118127516e-03 2.54786354300e-10 2.18171550929e-10 2.30788217580e-10 4.01220906165e+00 -4.49491983532e-02
2.30000000000e-01 2.69250093881e+01 4.20538649721e-08 4.72219777861e-03 2.54899401393e-10 2.18283386736e-10 2.30800772355e-10 4.08876875702e+00 -4.63645145754e-02
2.40000000000e-01 2.62716260274e+01 5.48682161427e-08 5.06705109738e-03 2.55004381220e-10 2.18396834469e-10 2.30814483843e-10 4.18281069363e+00 -4.81090758224e-02
2.50000000000e-01 2.55966086066e+01 7.11131933286e-08 5.39315602126e-03 2.55101882350e-10 2.18511932574e-10 2.30829351892e-10 4.29657280551e+00 -5.02287926369e-02
2.60000000000e-01 2.48971177658e+01 9.15364684471e-08 5.69885190681e-03 2.55192456453e-10 2.18628720796e-10 2.30845371976e-10 4.43202126309e+00 -5.27663915468e-02
2.70000000000e-01 2.41689538873e+01 1.16986928178e-07 5.98329043268e-03 2.55276618994e-10 2.18747240229e-10 2.30862536738e-10 4.59068586145e+00 -5.57586730414e-02
2.80000000000e-01 2.34077437195e+01 1.48403862415e-07 6.24630290131e-03 2.55354850308e-10 2.18867533372e-10 2.30880837353e-10 4.77351353038e+00 -5.92339635474e-02
2.90000000000e-01 2.26103946725e+01 1.86795543113e-07 6.48826147349e-03 2.55427596957e-10 2.18989644171e-10 2.30900264662e-10 4.98076163106e+00 -6.32100957961e-02
3.00000000000e-01 2.17764074329e+01 2.33207150223e-07 6.70994565015e-03 2.55495273296e-10 2.19113618063e-10 2.30920810071e-10 5.21194788063e+00 -6.76931917255e-02
3.10000000000e-01 2.09086697537e+01 2.88680179433e-07 6.91242174116e-03 2.55558263147e-10 2.19239502012e-10 2.30942466237e-10 5.46586486876e+00 -7.26774027292e-02
3.20000000000e-01 2.00135349494e+01 3.54207533660e-07 7.09693966634e-03 2.55616921558e-10 2.19367344549e-10 2.30965227550e-10 5.74065641646e+00 -7.81456121626e-02
3.30000000000e-01 1.91002252174e+01 4.30689769081e-07 7.26484864762e-03 2.55671576573e-10 2.19497195807e-10 2.30989090461e-10 6.03394331962e+00 -8.40709615864e-02
3.40000000000e-01 1.81797841826e+01 5.18897999684e-07 7.41753133590e-03 2.55722530995e-10 2.19629107565e-10 2.31014053684e-10 6.34297961997e+00 -9.04189578538e-02
3.50000000000e-01 1.72638742614e+01 6.19447763876e-07 7.55635464667e-03 2.55770064107e-10 2.19763133296e-10 2.31040118309e-10 6.66481855769e+00 -9.71498708871e-02
3.60000000000e-01 1.63636782216e+01 7.32786130232e-07 7.68263492464e-03 2.55814433334e-10 2.19899328225e-10 2.31067287857e-10 6.99646945251e+00 -1.04221142051e-01
3.70000000000e-01 1.54890678291e+01 8.59192079330e-07 7.79761485609e-03 2.55855875841e-10 2.20037749402e-10 2.31095568300e-10 7.33503163869e+00 -1.11589576383e-01
3.80000000000e-01 1.46480976454e+01 9.98788308764e-07 7.90244964066e-03 2.55894610044e-10 2.20178455774e-10 2.31124968055e-10 7.67779756219e+00 -1.19213167818e-01
3.90000000000e-01 1.38468021846e+01 1.15156141462e-06 7.99820019644e-03 2.55930837045e-10 2.20321508281e-10 2.31155497966e-10 8.02232279028e+00 -1.27052484908e-01
