# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
0.00000000000e+00 2.43131470191e+01 4.80590092572e-12 1.55172241294e-04 2.11576481155e-10 2.06282844322e-10 3.33933105787e-10 6.29399898941e+00 3.75089726970e-02
1.00000000000e-02 2.62121119081e+01 6.13965350228e-12 1.56231915796e-04 2.11650158804e-10 2.06296415539e-10 3.33904649778e-10 5.83712832464e+00 3.75090908788e-02
2.00000000000e-02 2.77156423798e+01 7.99625392704e-12 1.57268634051e-04 2.11720886914e-10 2.06310149330e-10 3.33872640175e-10 5.51947451956e+00 3.75092536377e-02
3.00000000000e-02 2.88664651149e+01 1.05707928096e-11 1.58346588966e-04 2.11788563104e-10 2.06324048926e-10 3.33836726011e-10 5.29829726864e+00 3.75094777510e-02
4.00000000000e-02 2.97238495700e+01 1.41317440711e-11 1.59560828101e-04 2.11853116532e-10 2.06338117648e-10 3.33796542563e-10 5.14417024157e+00 3.75097862868e-02
5.00000000000e-02 3.03485408493e+01 1.90482939932e-11 1.61046739008e-04 2.11914507273e-10 2.06352358908e-10 3.33751717308e-10 5.03678229894e+00 3.75102109487e-02
6.00000000000e-02 3.07946085936e+01 2.58277190684e-11 1.62991989469e-04 2.11972724909e-10 2.06366776213e-10 3.33701878387e-10 4.96207638150e+00 3.75107952830e-02
7.00000000000e-02 3.11062901828e+01 3.51665537387e-11 1.65651448688e-04 2.12027786458e-10 2.06381373169e-10 3.33646666199e-10 4.91031478376e+00 3.75115990637e-02
8.00000000000e-02 3.13178918928e+01 4.80203843780e-11 1.69365664021e-04 2.12079733778e-10 2.06396153483e-10 3.33585748834e-10 4.87474334950e+00 3.75127042733e-02
9.00000000000e-02 3.14550293467e+01 6.56989401282e-11 1.74583461550e-04 2.12128630620e-10 2.06411120968e-10 3.33518842090e-10 4.85067745116e+00 3.75142232485e-02
1.00000000000e-01 3.15362561177e+01 8.99953879346e-11 1.81889117141e-04 2.12174559462e-10 2.06426279547e-10 3.33445734779e-10 4.83487572652e+00 3.75163097425e-02
1.10000000000e-01 3.15746483632e+01 1.23361596069e-10 1.92034208382e-04 2.12217618275e-10 2.06441633256e-10 3.33366319781e-10 4.82510568808e+00 3.75191739092e-02
1.20000000000e-01 3.15791220710e+01 1.69145069459e-10 2.05973558506e-04 2.12257917346e-10 2.06457186247e-10 3.33280630818e-10 4.81984650342e+00 3.75231025254e-02
1.30000000000e-01 3.15482649056e+01 2.31901280726e-10 2.24380249615e-04 2.12295576249e-10 2.06472942796e-10 3.33188892652e-10 4.81808304105e+00 3.75284855882e-02
1.40000000000e-01 3.14910660898e+01 3.17808824957e-10 2.49112768413e-04 2.12330721042e-10 2.06488907304e-10 3.33091567377e-10 4.81916237651e+00 3.75358515665e-02
1.50000000000e-01 3.14110283783e+01 4.35251531076e-10 2.82062924033e-04 2.12363481748e-10 2.06505084302e-10 3.32989367862e-10 4.82269770881e+00 3.75459166533e-02
1.60000000000e-01 3.13085805649e+01 5.95559869501e-10 3.25306290418e-04 2.12393990132e-10 2.06521478458e-10 3.32883301663e-10 4.82850349053e+00 3.75596471030e-02
1.70000000000e-01 3.11831445131e+01 8.13993544261e-10 3.81203826260e-04 2.12422377806e-10 2.06538094580e-10 3.32774680030e-10 4.83655078786e+00 3.75783412113e-02
1.80000000000e-01 3.10333741401e+01 1.11102273844e-09 4.52330670320e-04 2.12448774642e-10 2.06554937623e-10 3.32665093742e-10 4.84693950411e+00 3.76037350107e-02
