# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
0.00000000000e+00 3.12721811684e+01 1.64286080768e-10 2.28173524306e-04 2.29246196266e-10 2.17049929542e-10 2.97688317836e-10 4.38457425211e+00 3.47079318859e-02
1.00000000000e-02 3.13988468108e+01 2.24635105636e-10 2.39034671462e-04 2.29415945747e-10 2.17081196933e-10 2.97666420174e-10 4.35742101750e+00 3.47133787652e-02
2.00000000000e-02 3.14498156039e+01 3.07470322462e-10 2.52850273238e-04 2.29578899635e-10 2.17112838890e-10 2.97642000367e-10 4.33949859605e+00 3.47208491452e-02
3.00000000000e-02 3.14407572744e+01 4.20983412282e-10 2.70794612259e-04 2.29734822045e-10 2.17144862857e-10 2.97615110443e-10 4.32831636651e+00 3.47310783341e-02
4.00000000000e-02 3.13824464343e+01 5.76252708321e-10 2.94433016874e-04 2.29883549756e-10 2.17177276486e-10 2.97585946604e-10 4.32217579443e+00 3.47450590631e-02
5.00000000000e-02 3.12820062524e+01 7.88205914835e-10 3.25817107343e-04 2.30024990782e-10 2.17210087640e-10 2.97554899225e-10 4.31994786769e+00 3.47641258937e-02
6.00000000000e-02 3.11418409176e+01 1.07686949725e-09 3.67462240680e-04 2.30159121115e-10 2.17243304402e-10 2.97522608032e-10 4.32092027491e+00 3.47900635173e-02
7.00000000000e-02 3.09647519408e+01 1.46895209769e-09 4.22653921889e-04 2.30285979955e-10 2.17276935082e-10 2.97490015757e-10 4.32469338384e+00 3.48252417264e-02
8.00000000000e-02 3.07541725485e+01 1.99995068613e-09 4.95461823935e-04 2.30405663739e-10 2.17310988226e-10 2.97458397023e-10 4.33111295314e+00 3.48727914240e-02
9.00000000000e-02 3.05108803604e+01 2.71676313037e-09 5.90434505681e-04 2.30518319336e-10 2.17345472626e-10 2.97429357147e-10 4.34022883253e+00 3.49368158216e-02
1.00000000000e-01 3.02354104046e+01 3.68097010990e-09 7.12456845842e-04 2.30624136760e-10 2.17380397328e-10 2.97404768375e-10 4.35227291069e+00 3.50226441907e-02
1.10000000000e-01 2.99284257955e+01 4.97291498920e-09 8.66297112964e-04 2.30723341722e-10 2.17415771638e-10 2.97386627855e-10 4.36765171516e+00 3.51371279780e-02
1.20000000000e-01 2.95910236682e+01 6.69672250520e-09 1.05598036800e-03 2.30816188302e-10 2.17451605141e-10 2.97376844267e-10 4.38695026557e+00 3.52889735034e-02
1.30000000000e-01 2.92249648064e+01 8.98642153639e-09 1.28410870607e-03 2.30902951978e-10 2.17487907704e-10 2.97376994472e-10 4.41094392576e+00 3.54890982608e-02
1.40000000000e-01 2.88327984990e+01 1.20133655729e-08 1.55131991673e-03 2.30983923166e-10 2.17524689488e-10 2.97388119034e-10 4.44061530153e+00 3.57509879311e-02
1.50000000000e-01 2.84178465180e+01 1.59951800768e-08 1.85605900214e-03 2.31059401408e-10 2.17561960966e-10 2.97410620497e-10 4.47717243322e+00 3.60910195231e-02
1.60000000000e-01 2.79840085537e+01 2.12065042430e-08 2.19472017954e-03 2.31129690266e-10 2.17599732930e-10 2.97444286162e-10 4.52206397111e+00 3.65287040050e-02
1.70000000000e-01 2.75353682069e+01 2.79918161153e-08 2.56207449497e-03 2.31195092940e-10 2.17638016508e-10 2.97488405138e-10 4.57698600079e+00 3.70867918300e-02
1.80000000000e-01 2.70756143849e+01 3.67805975296e-08 2.95182444662e-03 2.31255908624e-10 2.17676823177e-10 2.97541923147e-10 4.64387457889e+00 3.77911802207e-02
1.90000000000e-01 2.66073471906e+01 4.81049513407e-08 3.35714756103e-03 2.31312429534e-10 2.17716164781e-10 2.97603587502e-10 4.72487817384e+00 3.86705656343e-02
2.00000000000e-01 2.61313990306e+01 6.26194604364e-08 3.77115731837e-03 2.31364938578e-10 2.17756053547e-10 2.97672060614e-10 4.82230551404e+00 3.97558014462e-02
2.10000000000e-01 2.56463481753e+01 8.11225259712e-08 4.18726533829e-03 2.31413707601e-10 2.17796502102e-10 2.97746001560e-10 4.93854710566e+00 4.10789504918e-02
2.20000000000e-01 2.51484050469e+01 1.04577649938e-07 4.59945294229e-03 2.31458996121e-10 2.17837523495e-10 2.97824123767e-10 5.07597278894e+00 4.26720624141e-02
2.30000000000e-01 2.46317910781e+01 1.34132241407e-07 5.00246275323e-03 2.31501050501e-10 2.17879131213e-10 2.97905236400e-10 5.23681237994e+00 4.45657507964e-02
2.40000000000e-01 2.40896091549e+01 1.71130747606e-07 5.39191736732e-03 2.31540103480e-10 2.17921339205e-10 2.97988273668e-10 5.42303060157e+00 4.67876859928e-02
