# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
0.00000000000e+00 8.15212201185e+00 1.74439412122e-12 1.51338216768e-04 2.20533316157e-10 2.06236474860e-10 2.57149176513e-10 2.61894367016e+01 -3.22690522116e-02
1.00000000000e-02 1.05290446612e+01 1.87782464393e-12 1.53870231666e-04 2.20732301785e-10 2.06273127455e-10 2.57149322311e-10 2.02735011789e+01 -3.22690897416e-02
2.00000000000e-02 1.32243063991e+01 2.07854083989e-12 1.56389225783e-04 2.20923321420e-10 2.06310219125e-10 2.57149480986e-10 1.61381184997e+01 -3.22691419194e-02
3.00000000000e-02 1.61081757810e+01 2.37205359315e-12 1.58877005221e-04 2.21106098552e-10 2.06347758595e-10 2.57149653378e-10 1.32456283193e+01 -3.22692144542e-02
4.00000000000e-02 1.90086897960e+01 2.79384309726e-12 1.61317485740e-04 2.21280441853e-10 2.06385754834e-10 2.57149840403e-10 1.12212801260e+01 -3.22693152763e-02
5.00000000000e-02 2.17499514491e+01 3.39323421656e-12 1.63698377293e-04 2.21446243497e-10 2.06424217055e-10 2.57150043076e-10 9.80373536258e+00 -3.22694553971e-02
6.00000000000e-02 2.41922572826e+01 4.23874517263e-12 1.66013456274e-04 2.21603475349e-10 2.06463154732e-10 2.57150262548e-10 8.81058967973e+00 -3.22696501024e-02
7.00000000000e-02 2.62559185057e+01 5.42548856707e-12 1.68265615702e-04 2.21752183365e-10 2.06502577601e-10 2.57150500139e-10 8.11442769572e+00 -3.22699206031e-02
8.00000000000e-02 2.79219230349e+01 7.08547319243e-12 1.70470933013e-04 2.21892480601e-10 2.06542495676e-10 2.57150757397e-10 7.62625212594e+00 -3.22702963195e-02
9.00000000000e-02 2.92168545935e+01 9.40171241097e-12 1.72664056867e-04 2.22024539231e-10 2.06582919256e-10 2.57151036159e-10 7.28377775292e+00 -3.22708180378e-02
1.00000000000e-01 3.01922034231e+01 1.26278474707e-11 1.74905292588e-04 2.22148582005e-10 2.06623858933e-10 2.57151338645e-10 7.04344467646e+00 -3.22715422664e-02
1.10000000000e-01 3.09073421541e+01 1.71151030506e-11 1.77289866355e-04 2.22264873523e-10 2.06665325607e-10 2.57151667562e-10 6.87475206201e+00 -3.22725472412e-02
1.20000000000e-01 3.14185612909e+01 2.33494700908e-11 1.79959977315e-04 2.22373711644e-10 2.06707330495e-10 2.57152026251e-10 6.75634914155e+00 -3.22739411885e-02
1.30000000000e-01 3.17738915580e+01 3.20027447590e-11 1.83120410577e-04 2.22475419306e-10 2.06749885140e-10 2.57152418868e-10 6.67327975206e+00 -3.22758736717e-02
1.40000000000e-01 3.20116368760e+01 4.40025543941e-11 1.87058684983e-04 2.22570336967e-10 2.06793001429e-10 2.57152850616e-10 6.61507159999e+00 -3.22785511369e-02
1.50000000000e-01 3.21609395484e+01 6.06281695069e-11 1.92170939187e-04 2.22658815785e-10 2.06836691599e-10 2.57153328041e-10 6.57440148826e+00 -3.22822581482e-02
1.60000000000e-01 3.22432124136e+01 8.36411539036e-11 1.98994984940e-04 2.22741211629e-10 2.06880968254e-10 2.57153859416e-10 6.54615712460e+00 -3.22873862956e-02
1.70000000000e-01 3.22736900493e+01 1.15463075223e-10 2.08252093998e-04 2.22817879952e-10 2.06925844379e-10 2.57154455213e-10 6.52679105204e+00 -3.22944733884e-02
1.80000000000e-01 3.22628833522e+01 1.59416075442e-10 2.20898958794e-04 2.22889171511e-10 2.06971333352e-10 2.57155128723e-10 6.51386344100e+00 -3.23042563242e-02
1.90000000000e-01 3.22066423821e+01 2.20041928905e-10 2.37587153867e-04 2.22955428888e-10 2.07017448961e-10 2.57155896750e-10 6.50573421112e+00 -3.23177407746e-02
2.00000000000e-01 3.21066961970e+01 3.03485536841e-10 2.59765891685e-04 2.23016983761e-10 2.07064205418e-10 2.57156780119e-10 6.50134952640e+00 -3.23362840613e-02
2.10000000000e-01 3.19795183329e+01 4.18105543274e-10 2.90220903866e-04 2.23074154838e-10 2.07111617375e-10 2.57157805478e-10 6.50009572343e+00 -3.23617263940e-02
2.20000000000e-01 3.18262888563e+01 5.75216334846e-10 3.31486024029e-04 2.23127246382e-10 2.07159699943e-10 2.57159006450e-10 6.50171737020e+00 -3.23965473723e-02
2.30000000000e-01 3.16472692260e+01 7.90059214376e-10 3.86627839024e-04 2.23176547234e-10 2.07208468710e-10 2.57160425009e-10 6.50626923512e+00 -3.24440663109e-02
2.40000000000e-01 3.14421661871e+01 1.08307208043e-09 4.59216113128e-04 2.23222330269e-10 2.07257939758e-10 2.57162112962e-10 6.51409765512e+00 -3.25086962410e-02
2.50000000000e-01 3.12104334762e+01 1.48152500748e-09 5.53187792499e-04 2.23264852188e-10 2.07308129681e-10 2.57164133226e-10 6.52584804812e+00 -3.25962569614e-02
2.60000000000e-01 3.09515344489e+01 2.02160807959e-09 6.72567164595e-04 2.23304353599e-10 2.07359055612e-10 2.57166560561e-10 6.54249169481e+00 -3.27143504013e-02
2.70000000000e-01 3.06651529554e+01 2.75107240326e-09 8.21036553042e-04 2.23341059320e-10 2.07410735236e-10 2.57169481353e-10 6.56536915460e+00 -3.28727947595e-02
2.80000000000e-01 3.03513359561e+01 3.73253927038e-09 1.00141387336e-03 2.23375178838e-10 2.07463186822e-10 2.57172992105e-10 6.59624368832e+00 -3.30841025915e-02
2.90000000000e-01 3.00105213624e+01 5.04760602320e-09 1.21516266301e-03 2.23406906905e-10 2.07516429239e-10 2.57177196551e-10 6.63735826396e+00 -3.33639712244e-02
3.00000000000e-01 2.96433978796e+01 6.80188355392e-09 1.46208761679e-03 2.23436424214e-10 2.07570481987e-10 2.57182201687e-10 6.69148518004e+00 -3.37317315047e-02
3.10000000000e-01 2.92505439420e+01 9.13108855602e-09 1.74031527171e-03 2.23463898129e-10 2.07625365219e-10 2.57188113381e-10 6.76195412843e+00 -3.42106746334e-02
3.20000000000e-01 2.88318290248e+01 1.22082586443e-08 2.04654554180e-03 2.23489483447e-10 2.07681099775e-10 2.57195032312e-10 6.85264056907e+00 -3.48281513673e-02
3.30000000000e-01 2.83856378396e+01 1.62520215562e-08 2.37646063148e-03 2.23513323177e-10 2.07737707207e-10 2.57203050820e-10 6.96789466958e+00 -3.56153215650e-02
3.40000000000e-01 2.79080970995e+01 2.15355803257e-08 2.72515469127e-03 2.23535549303e-10 2.07795209812e-10 2.57212250858e-10 7.11239286165e+00 -3.66064366270e-02
3.50000000000e-01 2.73926060906e+01 2.83956378963e-08 3.08749403002e-03 2.23556283540e-10 2.07853630666e-10 2.57222702949e-10 7.29090226842e+00 -3.78375751158e-02
3.60000000000e-01 2.68300266666e+01 3.72398963182e-08 3.45838208202e-03 2.23575638069e-10 2.07912993658e-10 2.57234465905e-10 7.50796318261e+00 -3.93448300928e-02
3.70000000000e-01 2.62097901347e+01 4.85511613513e-08 3.83294441221e-03 2.23593716228e-10 2.07973323523e-10 2.57247587052e-10 7.76751541996e+00 -4.11620605543e-02
3.80000000000e-01 2.55218971823e+01 6.28857334801e-08 4.20665956251e-03 2.23610613183e-10 2.08034645881e-10 2.57262102782e-10 8.07251556206e+00 -4.33184462253e-02
3.90000000000e-01 2.47594027391e+01 8.08640169556e-08 4.57545463598e-03 2.23626416555e-10 2.08096987270e-10 2.57278039336e-10 8.42460659239e+00 -4.58361862658e-02
4.00000000000e-01 2.39206802390e+01 1.03152369604e-07 4.93577421804e-03 2.23641207009e-10 2.08160375179e-10 2.57295413743e-10 8.82390158174e+00 -4.87287156344e-02
4.10000000000e-01 2.30107377667e+01 1.30437063203e-07 5.28462449251e-03 2.23655058810e-10 2.08224838086e-10 2.57314234880e-10 9.26892575438e+00 -5.19997512361e-02
4.20000000000e-01 2.20411597842e+01 1.63393311999e-07 5.61959222137e-03 2.23668040333e-10 2.08290405488e-10 2.57334504603e-10 9.75672982657e+00 -5.56433299515e-02
4.30000000000e-01 2.10287263714e+01 2.02653874105e-07 5.93883905845e-03 2.23680214540e-10 2.08357107937e-10 2.57356218927e-10 1.02831518622e+01 -5.96448043672e-02
4.40000000000e-01 1.99931764877e+01 2.48782073363e-07 6.24107360389e-03 2.23691639424e-10 2.08424977074e-10 2.57379369210e-10 1.08431766672e+01 -6.39825809568e-02
4.50000000000e-01 1.89547573716e+01 3.02253058302e-07 6.52550540974e-03 2.23702368412e-10 2.08494045675e-10 2.57403943304e-10 1.14313292336e+01 -6.86302730175e-02
4.60000000000e-01 1.79321196256e+01 3.63445125440e-07 6.79178621802e-03 2.23712450743e-10 2.08564347686e-10 2.57429926645e-10 1.20420433413e+01 -7.35589201844e-02
4.70000000000e-01 1.69408816349e+01 4.32640745286e-07 7.03994393662e-03 2.23721931807e-10 2.08635918279e-10 2.57457303257e-10 1.26699633873e+01 -7.87389861127e-02
4.80000000000e-01 1.59929328934e+01 5.10035243620e-07 7.27031438799e-03 2.23730853467e-10 2.08708793900e-10 2.57486056640e-10 1.33101591276e+01 -8.41419511856e-02
4.90000000000e-01 1.50963640151e+01 5.95750270645e-07 7.48347495528e-03 2.23739254346e-10 2.08783012323e-10 2.57516170537e-10 1.39582524170e+01 -8.97414289530e-02
5.00000000000e-01 1.42558277298e+01 6.89849209289e-07 7.68018315128e-03 2.23747170093e-10 2.08858612711e-10 2.57547629571e-10 1.46104683034e+01 -9.55138251211e-02
5.10000000000e-01 1.34731310234e+01 7.92352253028e-07 7.86132204484e-03 2.23754633631e-10 2.08935635676e-10 2.57580419759e-10 1.52636291882e+01 -1.01438613985e-01
5.20000000000e-01 1.27478988553e+01 9.03249686645e-07 8.02785352274e-03 2.23761675375e-10 2.09014123337e-10 2.57614528900e-10 1.59151115692e+01 -1.07498330406e-01
5.30000000000e-01 1.20782039864e+01 1.02251266537e-06 8.18077960732e-03 2.23768323444e-10 2.09094119390e-10 2.57649946867e-10 1.65627822418e+01 -1.13678374365e-01
5.40000000000e-01 1.14611064828e+01 1.15010136897e-06 8.32111150204e-03 2.23774603842e-10 2.09175669166e-10 2.57686665803e-10 1.72049267375e+01 -1.19966710157e-01
5.50000000000e-01 1.08930826223e+01 1.28597077119e-06 8.44984568464e-03 2.23780540637e-10 2.09258819699e-10 2.57724680239e-10 1.78401785897e+01 -1.26353522029e-01
5.60000000000e-01 1.03703455253e+01 1.43007444198e-06 8.56794617416e-03 2.23786156112e-10 2.09343619795e-10 2.57763987158e-10 1.84674544869e+01 -1.32830868209e-01
5.70000000000e-01 9.88907151284e+00 1.58236684304e-06 8.67633202725e-03 2.23791470913e-10 2.09430120096e-10 2.57804586009e-10 1.90858977338e+01 -1.39392358715e-01
5.80000000000e-01 9.44555044894e+00 1.74280454272e-06 8.77586913291e-03 2.23796504181e-10 2.09518373146e-10 2.57846478678e-10 1.96948306904e+01 -1.46032869961e-01
5.90000000000e-01 9.03627820720e+00 1.91134670418e-06 8.86736544320e-03 2.23801273667e-10 2.09608433468e-10 2.57889669448e-10 2.02937158031e+01 -1.52748300747e-01
