# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
0.00000000000e+00 7.83949518687e-03 1.06250384198e-11 1.14591221635e-04 2.13427612410e-10 1.85769774084e-10 3.22906210214e-10 7.73694720423e+04 -3.57991152232e-02
1.00000000000e-02 1.09386285022e-02 1.04408568720e-11 1.15066957712e-04 2.13812558444e-10 1.85840680066e-10 3.22906195727e-10 5.54477467503e+04 -3.57991155596e-02
2.00000000000e-02 1.52583063420e-02 1.02628126944e-11 1.15587244850e-04 2.14182093928e-10 1.85912435454e-10 3.22906178982e-10 3.97491291371e+04 -3.57991160209e-02
3.00000000000e-02 2.12769053011e-02 1.00909058869e-11 1.16160027783e-04 2.14535683946e-10 1.85985057132e-10 3.22906159600e-10 2.85043058742e+04 -3.57991166534e-02
4.00000000000e-02 2.96590624656e-02 9.92516899621e-12 1.16794534615e-04 2.14872958366e-10 1.86058562447e-10 3.22906137128e-10 2.04476748066e+04 -3.57991175206e-02
5.00000000000e-02 4.13273274346e-02 9.76571361086e-12 1.17501412900e-04 2.15193708592e-10 1.86132969225e-10 3.22906111026e-10 1.46738286715e+04 -3.57991187095e-02
6.00000000000e-02 5.75609221232e-02 9.61273501080e-12 1.18292868521e-04 2.15497880195e-10 1.86208295790e-10 3.22906080643e-10 1.05348638417e+04 -3.57991203396e-02
7.00000000000e-02 8.01308567088e-02 9.46659120930e-12 1.19182804656e-04 2.15785562083e-10 1.86284560982e-10 3.22906045196e-10 7.56708614115e+03 -3.57991225743e-02
8.00000000000e-02 1.11484987400e-01 9.32778435482e-12 1.20186957528e-04 2.16056972964e-10 1.86361784170e-10 3.22906003737e-10 5.43849908279e+03 -3.57991256379e-02
9.00000000000e-02 1.54998105013e-01 9.19707696910e-12 1.21323025369e-04 2.16312445916e-10 1.86439985277e-10 3.22905955114e-10 3.91138367262e+03 -3.57991298377e-02
1.00000000000e-01 2.15307801838e-01 9.07557563858e-12 1.22610787246e-04 2.16552411862e-10 1.86519184797e-10 3.22905897925e-10 2.81547591739e+03 -3.57991355947e-02
